"id","code","name","subjects","display_order","is_active"
64,"DD2","Ngữ văn, Toán, Tiếng Hàn","[""literature"", ""math"", ""korean""]",64,True
65,"DH1","Ngữ văn, Địa lí, Tiếng Hàn","[""literature"", ""geography"", ""korean""]",65,True
66,"DH2","Ngữ văn, Hóa học, Tiếng Hàn","[""literature"", ""chemistry"", ""korean""]",66,True
67,"DH3","Ngữ văn, Vật lí, Tiếng Hàn","[""literature"", ""physics"", ""korean""]",67,True
68,"DH4","Ngữ văn, Sinh học, Tiếng Hàn","[""literature"", ""biology"", ""korean""]",68,True
69,"DH5","Ngữ văn, Lịch sử, Tiếng Hàn","[""literature"", ""history"", ""korean""]",69,True
70,"DH6","Ngữ văn, Giáo dục công dân, Tiếng Hàn","[""literature"", ""civic_education"", ""korean""]",70,True
71,"DH7","Ngữ văn, Khoa học tự nhiên, Tiếng Hàn","[""literature"", ""natural_science"", ""korean""]",71,True
72,"DH8","Ngữ văn, Khoa học xã hội, Tiếng Hàn","[""literature"", ""social_science"", ""korean""]",72,True
73,"D01","Ngữ văn, Toán, Tiếng Anh","[""literature"", ""math"", ""english""]",73,True
74,"D02","Ngữ văn, Toán, Tiếng Nga","[""literature"", ""math"", ""russian""]",74,True
75,"D03","Ngữ văn, Toán, Tiếng Pháp","[""literature"", ""math"", ""french""]",75,True
76,"D04","Ngữ văn, Toán, Tiếng Trung","[""literature"", ""math"", ""chinese""]",76,True
77,"D05","Ngữ văn, Toán, Tiếng Đức","[""literature"", ""math"", ""german""]",77,True
78,"D06","Ngữ văn, Toán, Tiếng Nhật","[""literature"", ""math"", ""japanese""]",78,True
79,"D07","Toán, Hóa học, Tiếng Anh","[""math"", ""chemistry"", ""english""]",79,True
80,"D08","Toán, Sinh học, Tiếng Anh","[""math"", ""biology"", ""english""]",80,True
81,"D09","Toán, Lịch sử, Tiếng Anh","[""math"", ""history"", ""english""]",81,True
82,"D10","Toán, Địa lí, Tiếng Anh","[""math"", ""geography"", ""english""]",82,True
83,"D11","Ngữ văn, Vật lí, Tiếng Anh","[""literature"", ""physics"", ""english""]",83,True
84,"D12","Ngữ văn, Hóa học, Tiếng Anh","[""literature"", ""chemistry"", ""english""]",84,True
85,"D13","Ngữ văn, Sinh học, Tiếng Anh","[""literature"", ""biology"", ""english""]",85,True
86,"D14","Ngữ văn, Lịch sử, Tiếng Anh","[""literature"", ""history"", ""english""]",86,True
87,"D15","Ngữ văn, Địa lí, Tiếng Anh","[""literature"", ""geography"", ""english""]",87,True
88,"D16","Toán, Địa lí, Tiếng Đức","[""math"", ""geography"", ""german""]",88,True
89,"D17","Toán, Địa lí, Tiếng Nga","[""math"", ""geography"", ""russian""]",89,True
90,"D18","Toán, Địa lí, Tiếng Nhật","[""math"", ""geography"", ""japanese""]",90,True
